model.rxnNames	ecST6512_avg	ecST6512_std	ecOKYL029_avg	ecOKYL029_std	ecJFYL07_avg	ecJFYL07_std	ecJFYL14_avg	ecJFYL14_std	ecJFYL18_avg	ecJFYL18_std
5'-nucleotidase (UMP)	0.00011636	0.00116563	0.00012492	0.00147282	0.00012069	0.00193553	0.00014518	0.00259867	0.00017429	0.00232873
5'-phosphoribosylformyl glycinamidine synthetase	0.01147224	0.00033351	0.01010602	0.00019851	0.00768183	0.00011640	0.01058295	0.00012634	0.00937527	0.00035843
5,10-methylenetetrahydrofolate reductase (NADPH)	0.00987101	0.00009351	0.00871010	0.00007417	0.00847338	0.00010372	0.01167895	0.00010052	0.01024551	0.00010946
5-aminolevulinate synthase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase	0.00001365	0.00016494	0.00001415	0.00018472	0.00011434	0.00208625	0.00021809	0.00362974	0.00000953	0.00012269
5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase	0.00000744	0.00011561	0.00000973	0.00014743	0.00009465	0.00203220	0.00017399	0.00353018	0.00000672	0.00010348
5-formethyltetrahydrofolate cyclo-ligase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
5-methylthioribose-1-phosphate isomerase	-0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00000000	0.00000000	0.00000000	0.00000000
5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	-0.00000520	0.00010194	-0.00000517	0.00011111	-0.00000619	0.00025281	-0.00001941	0.00055995	-0.00000222	0.00005922
5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	-0.00000100	0.00011815	0.00000075	0.00012940	-0.00001350	0.00042310	-0.00002470	0.00064885	-0.00000059	0.00011475
6-phosphofructo-2-kinase	0.00003601	0.00059920	0.00001474	0.00034716	0.00001908	0.00034780	0.00002472	0.00048428	0.00001443	0.00033982
6-phosphogluconolactonase	0.49638222	0.00729501	0.37606930	0.01605714	0.40759991	0.01131718	1.16334087	0.03698702	0.62271217	0.02637880
6PP-IP5 depyrophosphorylation to IP6	-0.00000746	0.00011587	-0.00000574	0.00011371	-0.00002331	0.00049359	-0.00003197	0.00070643	-0.00000506	0.00008941
6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	0.00000746	0.00011587	0.00000574	0.00011371	0.00002331	0.00049359	0.00003197	0.00070643	0.00000506	0.00008941
8-amino-7-oxononanoate synthase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
acetaldehyde condensation	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
acetohydroxy acid isomeroreductase	0.03419692	0.00096025	0.02960881	0.00050848	0.02290282	0.00199052	0.03156134	0.00290074	0.02794974	0.00086501
acetolactate synthase	0.03419692	0.00096025	0.02960881	0.00050848	0.02290282	0.00199052	0.03156134	0.00290074	0.02794974	0.00086501
acetyl-CoA ACP transacylase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
acetyl-CoA C-acyltransferase (palmitoyl-CoA)	0.00023709	0.00076467	0.00007615	0.00040256	0.00014025	0.00065941	0.00018440	0.00098311	0.00017900	0.00079529
acetyl-CoA C-acyltransferase (tetracosanoyl-CoA)	0.00000252	0.00002584	0.00000118	0.00001701	0.00000184	0.00002596	0.00000740	0.00006355	0.00000222	0.00002958
acetyl-CoA C-acyltransferase (myristoyl-CoA)	0.00022691	0.00080923	0.00010154	0.00050645	0.00007654	0.00044593	0.00011392	0.00069397	0.00015761	0.00076288
acetyl-CoA C-acetyltransferase	0.00025351	0.00268192	0.00008916	0.00099966	0.00245691	0.00115971	0.00313803	0.00237324	0.00019031	0.00194053
acetyl-CoA C-acetyltransferase	0.03220540	0.00695917	0.01039109	0.00128899	0.00910533	0.00078241	0.01239164	0.00298217	0.02002271	0.00548743
acetyl-CoA C-acyltransferase (lauroyl-CoA)	0.00017529	0.00074520	0.00007846	0.00039086	0.00006249	0.00032995	0.00007737	0.00038611	0.00012019	0.00062118
acetyl-CoA C-acyltransferase (octanoyl-CoA)	0.00027670	0.00084038	0.00021447	0.00069372	0.00019673	0.00059433	0.00021080	0.00065907	0.00033959	0.00109343
acetyl-CoA C-acyltransferase (decanoyl-CoA)	0.00023592	0.00079643	0.00012224	0.00050148	0.00011013	0.00043639	0.00011309	0.00047258	0.00018095	0.00077704
acetyl-Coa carboxylase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
acetyl-CoA carboxylase	0.08163562	0.00696029	0.07183893	0.00538360	0.05326458	0.00539927	0.07416918	0.00901422	0.06526305	0.00907213
acetyl-CoA hydrolase	0.00000260	0.00009180	0.00000757	0.00020214	0.00000176	0.00007188	0.00000909	0.00026234	0.00001165	0.00033671
acetyl-CoA synthetase	0.00453274	0.00128572	0.00413485	0.00311536	0.00309137	0.00179189	0.00437582	0.00449919	0.00382722	0.00331837
acetyl-CoA synthetase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
acetyl-CoA synthetase nuclear	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
acetylglutamate kinase	0.01228569	0.00109836	0.01039074	0.00166622	0.00769336	0.00032140	0.01066007	0.00079826	0.01178943	0.00269984
acid phosphatase (secreted)	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
2-methylcitrate dehydratase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
acteylornithine transaminase	0.01228569	0.00109836	0.01039074	0.00166622	0.00769336	0.00032140	0.01066007	0.00079826	0.01178943	0.00269984
acyl-CoA oxidase (decanoyl-CoA)	0.00023592	0.00079643	0.00012224	0.00050148	0.00011013	0.00043639	0.00011309	0.00047258	0.00018095	0.00077704
acyl-CoA oxidase (dodecanoyl-CoA)	0.00016910	0.00073558	0.00007200	0.00037993	0.00005499	0.00031725	0.00006577	0.00035649	0.00011360	0.00060990
acyl-CoA oxidase (hexacosanoyl-CoA)	0.00000252	0.00002584	0.00000118	0.00001701	0.00000184	0.00002596	0.00000740	0.00006355	0.00000222	0.00002958
acyl-CoA oxidase (hexadecanoyl-CoA)	0.00022691	0.00080923	0.00010154	0.00050645	0.00007654	0.00044593	0.00011392	0.00069397	0.00015761	0.00076288
acyl-CoA oxidase (octadecanoyl-CoA)	0.00023709	0.00076467	0.00007615	0.00040256	0.00014025	0.00065941	0.00018440	0.00098311	0.00017900	0.00079529
acyl-CoA oxidase (tetradecanoyl-CoA)	0.00017529	0.00074520	0.00007846	0.00039086	0.00006249	0.00032995	0.00007737	0.00038611	0.00012019	0.00062118
acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane	0.00002812	0.00099290	0.00003341	0.00105536	0.00002590	0.00091546	0.00004958	0.00158978	0.00005561	0.00148557
acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane	0.00015021	0.00200006	0.00010550	0.00167659	0.00016585	0.00208816	0.00023636	0.00331429	0.00016725	0.00244441
acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane	0.00004052	0.00117262	0.00002656	0.00093876	0.00001934	0.00078864	0.00001936	0.00097376	0.00002417	0.00098669
acyl-CoA:sterol acyltransferase (oleoyl-CoA:lanosterol), ER membrane	0.00002438	0.00088097	0.00001953	0.00079612	0.00003696	0.00106800	0.00007636	0.00190411	0.00002370	0.00096719
acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane	0.00001445	0.00070569	0.00006391	0.00143731	0.00007034	0.00149909	0.00008573	0.00214477	0.00007162	0.00168511
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane	0.00003511	0.00110641	0.00001331	0.00066544	0.00004507	0.00120396	0.00004131	0.00146541	0.00000786	0.00055513
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane	0.00008417	0.00155767	0.00010520	0.00170009	0.00013407	0.00204542	0.00019692	0.00316844	0.00021335	0.00286624
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane	0.00002789	0.00098573	0.00003310	0.00104639	0.00003806	0.00109833	0.00004225	0.00149408	0.00004688	0.00135553
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane	0.00002311	0.00077828	0.00003218	0.00101728	0.00003016	0.00095561	0.00003230	0.00127759	0.00002121	0.00086821
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane	0.00009781	0.00184592	0.00005355	0.00133772	0.00002379	0.00084491	0.00010594	0.00237017	0.00008254	0.00180305
acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
adenine phosphoribosyltransferase	0.00011612	0.00175618	0.00007593	0.00141660	0.00017678	0.00225410	0.00018945	0.00259159	0.00010713	0.00154410
adenosine kinase	0.00616301	0.00599137	0.00542919	0.00513115	0.00583997	0.00324879	0.00860761	0.00980274	0.00719761	0.00562177
adenosine monophosphate deaminase	0.00002292	0.00057259	0.00001603	0.00050658	0.00000787	0.00032120	0.00001128	0.00039859	0.00002855	0.00069560
adenosylhomocysteinase	0.00585173	0.00009607	0.00516428	0.00009098	0.00577752	0.00011264	0.00796141	0.00012330	0.00698271	0.00010307
adenosylmethionine decarboxylase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
adenosylmethionine-8-amino-7-oxononanoate transaminase	-0.00000000	0.00000000	-0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00000000	0.00000000
adenylate cyclase	0.00025067	0.00355853	0.00011758	0.00237763	0.00015323	0.00285422	0.00023659	0.00426398	0.00059944	0.00560163
adenylate kinase	0.07912337	0.01231957	0.06615147	0.01239835	0.05487406	0.01064057	0.07459492	0.02042937	0.06003614	0.01294043
adenylate kinase	-0.00018738	0.00341647	-0.00038120	0.00617291	-0.00008682	0.00184911	-0.00021135	0.00430937	-0.00012122	0.00228782
adenylate kinase (GTP)	0.00018738	0.00341647	0.00038120	0.00617291	0.00008682	0.00184911	0.00021135	0.00430937	0.00012122	0.00228782
adenylosuccinate lyase (AICAR)	0.01147224	0.00033351	0.01010602	0.00019851	0.00768183	0.00011640	0.01058295	0.00012634	0.00937527	0.00035843
adenylosuccinate lyase	0.01095253	0.00124608	0.00970239	0.00172155	0.00738638	0.00112695	0.01018843	0.00138617	0.00895288	0.00157103
adenylosuccinate synthase	0.01095253	0.00124608	0.00970239	0.00172155	0.00738638	0.00112695	0.01018843	0.00138617	0.00895288	0.00157103
adenylyl-sulfate kinase	0.00436614	0.00027271	0.00385157	0.00022815	0.00292996	0.00019004	0.00404293	0.00031743	0.00354502	0.00022408
alanine glyoxylate aminotransferase	0.02972492	0.00581992	0.01919422	0.00423396	0.01900669	0.00651780	0.02361987	0.00650996	0.00039476	0.00460874
alanyl-tRNA synthetase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
alcohol dehydrogenase (ethanol to acetaldehyde)	0.34205477	4.76916789	0.01332268	0.16748014	0.01988663	0.27075240	0.25770287	3.55634951	0.38225228	5.07762779
alcohol dehydrogenase (glycerol, NADP)	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
mitochondrial alcohol dehydrogenase	0.00047708	0.00744156	0.00156027	0.01507158	0.00047254	0.00676315	0.00398345	0.04221663	0.00021908	0.00462403
aldehyde dehydrogenase (3-aminopropanal, NAD)	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
aldehyde dehydrogenase (acetaldehyde, NADP)	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
aldehyde dehydrogenase (acetylaldehyde, NAD)	0.00008307	0.00057494	0.00005141	0.00058750	0.00003972	0.00038307	0.00016676	0.00116407	0.00010454	0.00113878
aldehyde dehydrogenase (acetylaldehyde, NADP)	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
alkaline phosphatase (dihydroneopterin)	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
allantoate amidinohydrolase	0.00005192	0.00031393	0.00002881	0.00017559	0.00001398	0.00007284	0.00001428	0.00008766	0.00010377	0.00034921
allantoinase	0.00005192	0.00031393	0.00002881	0.00017559	0.00001398	0.00007284	0.00001428	0.00008766	0.00010377	0.00034921
allophanate hydrolase	0.00003627	0.00046263	0.00004378	0.00063624	0.00001831	0.00022470	0.00002050	0.00026539	0.00002781	0.00035477
alpha 1,2-mannosyltransferase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
alpha,alpha-trehalase	0.00002547	0.00048287	0.00002950	0.00053873	0.00004148	0.00062222	0.00006944	0.00097975	0.00003971	0.00063434
alpha,alpha-trehalose-phosphate synthase (UDP-forming)	0.00064938	0.00048293	0.00058003	0.00053883	0.00046039	0.00062260	0.00064683	0.00097971	0.00054623	0.00063472
amidase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Aminobutyraldehyde dehydrogenase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
anthranilate phosphoribosyltransferase	0.00959053	0.00346905	0.00433081	0.00103669	0.00587602	0.00243405	0.00589438	0.00092660	0.00035927	0.00091680
anthranilate synthase	0.00019590	0.00000186	0.00017287	0.00000147	0.00013153	0.00000161	0.00018130	0.00000156	0.00015904	0.00000170
Ap4A hydrolase	0.00003883	0.00097019	0.00003515	0.00124241	0.00001410	0.00044578	0.00002374	0.00059305	0.00002846	0.00076016
arabinose reductase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
arginase	0.00002451	0.00021890	0.00009919	0.00084217	0.00002830	0.00023127	0.00003295	0.00028383	0.00002654	0.00022186
argininosuccinate lyase	0.01144411	0.00024407	0.01017576	0.00084383	0.00769566	0.00025287	0.01060094	0.00029792	0.00929745	0.00024484
argininosuccinate synthase	0.01144411	0.00024407	0.01017576	0.00084383	0.00769566	0.00025287	0.01060094	0.00029792	0.00929745	0.00024484
arginyl-tRNA synthetase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
arginyl-tRNA synthetase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
asparagine synthase (glutamine-hydrolysing)	0.00004703	0.00125706	0.00003778	0.00113371	0.00005213	0.00121765	0.00012373	0.00313316	0.00008030	0.00177003
Asparaginyl-tRNA synthetase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
asparaginyl-tRNA synthetase, miotchondrial	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
aspartate carbamoyltransferase	0.01249298	0.00011835	0.01102372	0.00009387	0.00838805	0.00010267	0.01156133	0.00009951	0.01014233	0.00010836
aspartate kinase	0.03174980	0.00211045	0.03148950	0.00362179	0.02122437	0.00110690	0.02936252	0.00210419	0.03979707	0.00068123
aspartate transaminase	1.09392693	0.03605284	0.96759378	0.03201150	0.71275711	0.04495068	2.27217068	0.08820069	1.47292277	0.04826842
aspartate transaminase	-1.24468100	0.03525560	-1.09398573	0.03509556	-0.85320205	0.04384005	-2.42795795	0.08282201	-1.57822645	0.04869827
aspartate transaminase	0.03829381	0.00375941	0.01927950	0.00153020	0.06500926	0.00670832	0.05192073	0.02045659	-0.00000649	0.00015608
aspartate-semialdehyde dehydrogenase	0.03174980	0.00211045	0.03148950	0.00362179	0.02122437	0.00110690	0.02936252	0.00210419	0.03979707	0.00068123
Aspartyl-tRNA synthetase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Aspartyl-tRNA synthetase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
ATP adenylyltransferase	0.00003883	0.00097019	0.00003515	0.00124241	0.00001410	0.00044578	0.00002374	0.00059305	0.00002846	0.00076016
ATP adenylyltransferase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
ATP adenylyltransferase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
