YALI0;YALI1
YALI0A02354g;YALI1_A02833g
;YALI1_A02875g
YALI0A02409g;YALI1_A02895g
YALI0A02416g;YALI1_A02909g
YALI0A02423g;YALI1_A02919g
YALI0A02431g;YALI1_A02947g
YALI0A02453g;YALI1_A02974g
;YALI1_A02977g
YALI0A02475g;YALI1_A02998g
;YALI1_A03017g
YALI0A02497g;YALI1_A03029g
YALI0A02541g;YALI1_A03069g
YALI0A02563g;YALI1_A03081g
YALI0A02585g;YALI1_A03091g
YALI0A02607g;YALI1_A03116g
YALI0A02629g;YALI1_A03137g
YALI0A02651g;YALI1_A03153g
YALI0A02673g;YALI1_A03170g
YALI0A02695g;YALI1_A03183g
YALI0A02717g;YALI1_A03210g
YALI0A02739r;YALI1_A03242r
YALI0A02783g;YALI1_A03258g
YALI0A02849g;YALI1_A03278g
YALI0A02871g;YALI1_A03289g
YALI0A02893g;YALI1_A03300g
YALI0A02915g;YALI1_A03322g
YALI0A02937g;YALI1_A03351g
YALI0A02959g;YALI1_A03356g
YALI0A02981g;YALI1_A03396g
YALI0A03003g;YALI1_A03402g
YALI0A03025g;YALI1_A03422g
YALI0A03047r;YALI1_A03437r
YALI0A03069g;YALI1_A03442g
YALI0A03091g;YALI1_A03450g
YALI0A03113g;YALI1_A03487g
;YALI1_A03507g
YALI0A03135g;YALI1_A03512g
YALI0A03157r;YALI1_A03529r
YALI0A03179g;YALI1_A03549g
YALI0A03201g;YALI1_A03567g
YALI0A03223g;YALI1_A03579g
;YALI1_A03599g
YALI0A03245g;YALI1_A03624g
YALI0A03267r;YALI1_A03627r
YALI0A03311r;YALI1_A03632r
YALI0A03355r;YALI1_A03643r
YALI0A03399g;YALI1_A03669g
YALI0A03421g;YALI1_A03688g
YALI0A03443g;YALI1_A03721g
YALI0A03465r;YALI1_A03732r
YALI0A03509g;YALI1_A03757g
YALI0A03531g;YALI1_A03763g
YALI0A03553g;YALI1_A03803g
YALI0A03575g;YALI1_A03809g
;YALI1_A03815g
YALI0A03597g;YALI1_A03837g
;YALI1_A03842g
YALI0A03641g;YALI1_A03857g
YALI0A03663g;YALI1_A03883g
;YALI1_A03900g
YALI0A03685g;YALI1_A03907g
YALI0A03707r;YALI1_A03933r
YALI0A03751g;YALI1_A03937g
YALI0A03773g;YALI1_A03964g
YALI0A03817g;YALI1_A04006g
YALI0A03839g;YALI1_A04022g
;YALI1_A04044g
;YALI1_A04048g
YALI0A03861g;YALI1_A04071g
YALI0A03883g;YALI1_A04109g
YALI0A03905g;YALI1_A04119g
YALI0A03916r;YALI1_A04155r
;YALI1_A04164g
YALI0A03927g;YALI1_A04178g
YALI0A03949g;YALI1_A04261g
YALI0A03971g;YALI1_A04309g
YALI0A03993g;YALI1_A04332g
YALI0A04015r;YALI1_A04338r
YALI0A04059g;YALI1_A04341g
YALI0A04081r;YALI1_A04359r
YALI0A04125g;YALI1_A04385g
YALI0A04147r;YALI1_A04398r
YALI0A04191g;YALI1_A04415g
YALI0A04202r;YALI1_A04438r
YALI0A04213r;YALI1_A04439r
YALI0A04235r;YALI1_A04446r
YALI0A04279g;YALI1_A04462g
YALI0A04301g;YALI1_A04495g
YALI0A04323g;YALI1_A04533g
YALI0A04345g;YALI1_A04561g
YALI0A04367g;YALI1_A04576g
YALI0A04389r;YALI1_A04602r
YALI0A04433r;YALI1_A04611r
YALI0A04455g;YALI1_A04620g
YALI0A04477r;YALI1_A04645r
;YALI1_A04653g
YALI0A04499g;YALI1_A04661g
YALI0A04521g;YALI1_A04676g
YALI0A04543r;YALI1_A04699r
YALI0A04565r;YALI1_A04709r
YALI0A04576r;YALI1_A04710r
YALI0A04587g;YALI1_A04715g
YALI0A04609g;YALI1_A04742g
YALI0A04631g;YALI1_A04781g
YALI0A04631g;YALI1_A04795g
YALI0A04653g;YALI1_A04815g
YALI0A04675g;YALI1_A04817g
YALI0A04697g;YALI1_A04848g
;YALI1_A04859g
;YALI1_A04864g
YALI0A04719g;YALI1_A04884g
YALI0A04741g;YALI1_A04893g
YALI0A04763r;YALI1_A04916r
YALI0A04785g;YALI1_A04927g
YALI0A04807g;YALI1_A04939g
YALI0A04829r;YALI1_A04958r
YALI0A04873g;YALI1_A04976g
;YALI1_A04983g
;YALI1_A04990g
YALI0A04895g;YALI1_A05003g
YALI0A04917g;YALI1_A05031g
YALI0A04939g;YALI1_A05052g
YALI0A04961g;YALI1_A05091g
YALI0A04983g;YALI1_A05116g
YALI0A05005g;YALI1_A05143g
YALI0A05027g;YALI1_A05168g
YALI0A05049r;YALI1_A05186r
YALI0A05093r;YALI1_A05189r
YALI0A05115g;YALI1_A05210g
YALI0A05137g;YALI1_A05220g
YALI0A05159g;YALI1_A05229g
YALI0A05181g;YALI1_A05254g
YALI0A05203g;YALI1_A05259g
YALI0A05225g;YALI1_A05284g
YALI0A05247g;YALI1_A05335g
YALI0A05269t;YALI1_A05348t
YALI0A05291g;YALI1_A05355g
YALI0A05313g;YALI1_A05366g
YALI0A05357g;YALI1_A05407g
YALI0A05379g;YALI1_A05459g
YALI0A05401g;YALI1_A05473g
YALI0A05423g;YALI1_A05491g
YALI0A05445r;YALI1_A05500r
YALI0A05489r;YALI1_A05505r
YALI0A05533g;YALI1_A05527g
YALI0A05555g;YALI1_A05571g
;YALI1_A05578g
;YALI1_A05583g
;YALI1_A05592g
YALI0A05577g;YALI1_A05605g
YALI0A05599r;YALI1_A05637r
YALI0A05621r;YALI1_A05639r
YALI0A05665g;YALI1_A05662g
YALI0A05687r;YALI1_A05684r
YALI0A05731r;YALI1_A05694r
YALI0A05775g;YALI1_A05701g
YALI0A05797g;YALI1_A05709g
YALI0A05819r;YALI1_A05718r
YALI0A05863r;YALI1_A05723r
YALI0A05885g;YALI1_A05737g
;YALI1_A05740g
YALI0A05907r;YALI1_A05745r
YALI0A05929g;YALI1_A05774g
YALI0A05951g;YALI1_A05795g
;YALI1_A05798g
YALI0A05973g;YALI1_A05813g
YALI0A05995g;YALI1_A05821g
;YALI1_A05836g
YALI0A06017g;YALI1_A05844g
;YALI1_A05869g
YALI0A06061g;YALI1_A05884g
;YALI1_A05904g
YALI0A06105g;YALI1_A05927g
YALI0A06127r;YALI1_A05933r
YALI0A06171g;YALI1_A05947g
YALI0A06193r;YALI1_A05953r
YALI0A06215g;YALI1_A05987g
YALI0A06226r;YALI1_A06019r
YALI0A06237r;YALI1_A06020r
YALI0A06259r;YALI1_A06024r
YALI0A06303r;YALI1_A06032r
YALI0A06347g;YALI1_A06052g
YALI0A06369g;YALI1_A06073g
YALI0A06391r;YALI1_A06081r
YALI0A06435g;YALI1_A06099g
;YALI1_A06102g
;YALI1_A06104g
YALI0A06457g;YALI1_A06116g
YALI0A06479g;YALI1_A06128g
YALI0A06501g;YALI1_A06149g
YALI0A06523g;YALI1_A06169g
;YALI1_A06174g
YALI0A06545r;YALI1_A06190r
;YALI1_A06196g
;YALI1_A06207g
;YALI1_A06220g
YALI0A06589g;YALI1_A06229g
YALI0A06611g;YALI1_A06287g
YALI0A06633g;YALI1_A06311g
YALI0A06644r;YALI1_A06327r
YALI0A06655g;YALI1_A06361g
YALI0A06677g;YALI1_A06381g
;YALI1_A06384g
YALI0A06699g;YALI1_A06396g
YALI0A06721g;YALI1_A06402g
YALI0A06743g;YALI1_A06416g
YALI0A06754r;YALI1_A06423r
YALI0A06765g;YALI1_A06434g
YALI0A06787g;YALI1_A06453g
YALI0A06809g;YALI1_A06473g
YALI0A06831g;YALI1_A06488g
;YALI1_A06530g
YALI0A06886g;YALI1_A06591g
YALI0A06908g;YALI1_A06594g
YALI0A06930g;YALI1_A06612g
;YALI1_A06615g
YALI0A06952g;YALI1_A06625g
;YALI1_A06634g
YALI0A06974g;YALI1_A06640g
YALI0A06996g;YALI1_A06666g
YALI0A07018g;YALI1_A06672g
YALI0A07040r;YALI1_A06710r
YALI0A07062g;YALI1_A06721g
;YALI1_A06735g
YALI0A07084g;YALI1_A06743g
;YALI1_A06751g
;YALI1_A06761g
YALI0A07106g;YALI1_A06778g
;YALI1_A06815g
;YALI1_A06818g
YALI0A07128g;YALI1_A06823g
YALI0A07142g;YALI1_A06873g
YALI0A07150r;YALI1_A06883r
YALI0A07194r;YALI1_A06888r
YALI0A07260r;YALI1_A06928r
YALI0A07271r;YALI1_A06929r
YALI0A07293r;YALI1_A06936r
YALI0A07315r;YALI1_A06939r
YALI0A07359r;YALI1_A06957r
YALI0A07403g;YALI1_A06958g
YALI0A07425g;YALI1_A06989g
YALI0A07447g;YALI1_A07014g
YALI0A07469r;YALI1_A07038r
YALI0A07513r;YALI1_A07044r
YALI0A07557g;YALI1_A07051g
YALI0A07579g;YALI1_A07103g
YALI0A07601g;YALI1_A07137g
;YALI1_A07161g
;YALI1_A07171g
YALI0A07623g;YALI1_A07201g
;YALI1_A07226g
YALI0A07645g;YALI1_A07229g
YALI0A07667g;YALI1_A07241g
YALI0A07689g;YALI1_A07267g
YALI0A07711g;YALI1_A07277g
YALI0A07733g;YALI1_A07290g
YALI0A07755g;YALI1_A07309g
YALI0A07777g;YALI1_A07318g
YALI0A07799g;YALI1_A07326g
YALI0A07821g;YALI1_A07349g
;YALI1_A07357g
;YALI1_A07372g
;YALI1_A07376g
YALI0A07843g;YALI1_A07381g
YALI0A07865g;YALI1_A07405g
YALI0A07887g;YALI1_A07418g
YALI0A07909r;YALI1_A07421r
YALI0A07953r;YALI1_A07425r
YALI0A07997g;YALI1_A07472g
YALI0A08019g;YALI1_A07538g
;YALI1_A07557g
YALI0A08041g;YALI1_A07575g
;YALI1_A07608g
YALI0A08063g;YALI1_A07624g
;YALI1_A07632g
;YALI1_A07635g
YALI0A08077g;YALI1_A07649g
YALI0A08107g;YALI1_A07668g
;YALI1_A07681g
YALI0A08129g;YALI1_A07712g
YALI0A08151g;YALI1_A07730g
;YALI1_A07766g
YALI0A08165g;YALI1_A07768g
YALI0A08195g;YALI1_A07829g
YALI0A08206r;YALI1_A07842r
YALI0A08217g;YALI1_A07887g
YALI0A08239g;YALI1_A07937g
YALI0A08261g;YALI1_A07977g
YALI0A08283r;YALI1_A08027r
YALI0A08327g;YALI1_A08047g
YALI0A08338g;YALI1_A08049g
;YALI1_A08065g
YALI0A08360g;YALI1_A08073g
;YALI1_A08107g
;YALI1_A08115g
YALI0A08404g;YALI1_A08126g
YALI0A08426g;YALI1_A08175g
;YALI1_A08197g
YALI0A08448g;YALI1_A08206g
;YALI1_A08299g
YALI0A07249g;YALI1_A08341t
;YALI1_A08362t
;YALI1_A08424g
YALI0A08492r;YALI1_A08434r
YALI0A08536g;YALI1_A08436g
YALI0A08558g;YALI1_A08467g
YALI0A08580g;YALI1_A08468g
YALI0A08602r;YALI1_A08483r
YALI0A08624g;YALI1_A08486g
YALI0A08646g;YALI1_A08502g
YALI0A08668g;YALI1_A08512g
;YALI1_A08532g
YALI0A08690r;YALI1_A08542r
YALI0A08734g;YALI1_A08546g
;YALI1_A08573r
YALI0A08756r;YALI1_A08574r
YALI0A08800g;YALI1_A08614g
YALI0A08822r;YALI1_A08620r
YALI0A08866g;YALI1_A08623g
YALI0A08888g;YALI1_A08653g
;YALI1_A08661r
YALI0A08976r;YALI1_A08662r
YALI0A08998g;YALI1_A08672g
YALI0A09020g;YALI1_A08729g
;YALI1_A08759g
YALI0A09042g;YALI1_A08781g
YALI0A09064g;YALI1_A08787g
;YALI1_A08821g
YALI0A09086g;YALI1_A08828g
;YALI1_A08835g
YALI0A09108g;YALI1_A08856g
YALI0A09130r;YALI1_A08873r
;YALI1_A08875g
YALI0A09152r;YALI1_A08890r
YALI0A09196g;YALI1_A08901g
;YALI1_A08931g
;YALI1_A08934g
;YALI1_A08941g
YALI0A09218r;YALI1_A08951r
YALI0A09262g;YALI1_A08981g
YALI0A09284g;YALI1_A09010g
;YALI1_A09021g
YALI0A09383g;YALI1_A09064g
YALI0A09405g;YALI1_A09100g
YALI0A09427g;YALI1_A09121g
YALI0A09438g;YALI1_A09139g
YALI0A09443g;YALI1_A09149g
;YALI1_A09165g
YALI0A09449g;YALI1_A09166g
YALI0A09471g;YALI1_A09190g
YALI0A09515g;YALI1_A09201g
YALI0A09537g;YALI1_A09218g
YALI0A09559g;YALI1_A09325g
YALI0A09592g;YALI1_A09372g
YALI0A09614g;YALI1_A09397g
YALI0A09636g;YALI1_A09408g
YALI0A09658g;YALI1_A09422g
;YALI1_A09442g
YALI0A09680g;YALI1_A09444g
YALI0A09702g;YALI1_A09467g
YALI0A09724g;YALI1_A09522g
YALI0A09746g;YALI1_A09524g
YALI0A09768g;YALI1_A09553g
YALI0A09790g;YALI1_A09576g
YALI0A09812g;YALI1_A09593g
YALI0A09834g;YALI1_A09626g
YALI0A09845g;YALI1_A09638g
;YALI1_A09654g
YALI0A09856g;YALI1_A09694g
YALI0A09878g;YALI1_A09741g
YALI0A09900g;YALI1_A09766g
;YALI1_A09776g
;YALI1_A09787g
;YALI1_A09789g
YALI0A09922g;YALI1_A09798g
YALI0A09933g;YALI1_A09822g
YALI0A09951s;YALI1_A09835g
;YALI1_A09852g
YALI0A09988g;YALI1_A09856g
YALI0A10010g;YALI1_A09893g
YALI0A10032g;YALI1_A09911g
YALI0A10054t;YALI1_A09919t
YALI0A10076g;YALI1_A09939g
YALI0A10098g;YALI1_A09949g
YALI0A10120g;YALI1_A09996g
YALI0A10142g;YALI1_A10015g
YALI0A10164g;YALI1_A10022g
YALI0A10186g;YALI1_A10039g
YALI0A10208g;YALI1_A10072g
YALI0A10230g;YALI1_A10105g
YALI0A10252g;YALI1_A10143g
YALI0A10274g;YALI1_A10146g
YALI0A10296g;YALI1_A10199g
YALI0A10310g;YALI1_A10254g
YALI0A10318g;YALI1_A10267g
YALI0A10340r;YALI1_A10309r
YALI0A10362g;YALI1_A10318g
YALI0A10439g;YALI1_A10365g
YALI0A10461g;YALI1_A10397g
;YALI1_A10448g
YALI0A10483g;YALI1_A10468g
;YALI1_A10473g
;YALI1_A10483r
YALI0A10549g;YALI1_A10510g
YALI0A10571g;YALI1_A10529g
YALI0A10593g;YALI1_A10565g
YALI0A10615g;YALI1_A10619g
YALI0A10637g;YALI1_A10672g
YALI0A10659g;YALI1_A10708g
YALI0A10681g;YALI1_A10784g
;YALI1_A10796g
YALI0A10703g;YALI1_A10798g
YALI0A10725g;YALI1_A10827g
YALI0A10747g;YALI1_A10857g
YALI0A10769g;YALI1_A10883g
YALI0A10813g;YALI1_A10907g
YALI0A10835r;YALI1_A10921r
YALI0A10879g;YALI1_A10934g
YALI0A10890r;YALI1_A10943r
YALI0A10901g;YALI1_A10966g
;YALI1_A11010g
YALI0A10945g;YALI1_A11043g
;YALI1_A11068g
YALI0A10967g;YALI1_A11079g
YALI0A10989g;YALI1_A11114g
YALI0A11011g;YALI1_A11141g
YALI0A11022g;YALI1_A11154g
;YALI1_A11165g
YALI0A11033r;YALI1_A11178r
YALI0A11077g;YALI1_A11182g
YALI0A11099g;YALI1_A11218g
YALI0A11121g;YALI1_A11231g
YALI0A11143g;YALI1_A11258g
YALI0A11157g;YALI1_A11270g
;YALI1_A11293g
;YALI1_A11303g
YALI0A11198g;YALI1_A11341g
;YALI1_A11345g
YALI0A11220g;YALI1_A11355g
YALI0A11242r;YALI1_A11357r
YALI0A11286g;YALI1_A11377g
YALI0A11363r;YALI1_A11394r
YALI0A11407g;YALI1_A11415g
YALI0A11429r;YALI1_A11418r
YALI0A11473g;YALI1_A11439g
YALI0A11495r;YALI1_A11481r
YALI0A11517g;YALI1_A11500g
YALI0A11539g;YALI1_A11506g
YALI0A11550g;YALI1_A11557g
;YALI1_A11568g
;YALI1_A11588g
YALI0A11561g;YALI1_A11612g
;YALI1_A11622g
;YALI1_A11643g
YALI0A11605g;YALI1_A11654g
YALI0A11627g;YALI1_A11676g
YALI0A11638g;YALI1_A11698g
;YALI1_A11723g
;YALI1_A11745g
YALI0A11649g;YALI1_A11797g
;YALI1_A11821g
;YALI1_A11833g
YALI0A11671g;YALI1_A11854g
;YALI1_A11876g
YALI0A11693r;YALI1_A11880r
YALI0A11737g;YALI1_A11905g
YALI0A11759g;YALI1_A11954g
YALI0A07249g:2;YALI1_A11966t
;YALI1_A11988t
YALI0A11781g;YALI1_A12037g
YALI0A11803g;YALI1_A12067g
YALI0A11847g;YALI1_A12085g
YALI0A11869g;YALI1_A12099g
;YALI1_A12138g
YALI0A11891g;YALI1_A12152g
YALI0A11935g;YALI1_A12167g
YALI0A11957r;YALI1_A12177r
YALI0A12001g;YALI1_A12225g
YALI0A12023g;YALI1_A12245g
YALI0A12045g;YALI1_A12284g
;YALI1_A12294g
YALI0A12067g;YALI1_A12302g
YALI0A12111g;YALI1_A12356g
YALI0A12133g;YALI1_A12403g
YALI0A12155g;YALI1_A12411g
YALI0A12177g;YALI1_A12437g
YALI0A12199g;YALI1_A12445g
YALI0A12221g;YALI1_A12465g
YALI0A12243g;YALI1_A12475g
YALI0A12265g;YALI1_A12492g
YALI0A12287g;YALI1_A12502g
YALI0A12309r;YALI1_A12530r
YALI0A12353g;YALI1_A12540g
YALI0A12375r;YALI1_A12597r
YALI0A12419g;YALI1_A12601g
YALI0A12441g;YALI1_A12617g
YALI0A12452r;YALI1_A12629r
YALI0A12463r;YALI1_A12630r
YALI0A12507g;YALI1_A12638g
YALI0A12529r;YALI1_A12676r
YALI0A12573g;YALI1_A12688g
;YALI1_A12726t
YALI0A12617g;YALI1_A12729g
YALI0A12639r;YALI1_A12754r
YALI0A12683g;YALI1_A12756g
YALI0A12705g;YALI1_A12772g
YALI0A12727r;YALI1_A12812r
;YALI1_A12822g
YALI0A12771r;YALI1_A12836r
YALI0A12782r;YALI1_A12837r
YALI0A12793r;YALI1_A12846r
YALI0A12815g;YALI1_A12852g
YALI0A12837g;YALI1_A12868g
YALI0A12859r;YALI1_A12874r
YALI0A12925g;YALI1_A12929g
YALI0A12947r;YALI1_A12944r
YALI0A12969g;YALI1_A12989g
YALI0A12991r;YALI1_A12995r
YALI0A13002r;YALI1_A12996r
;YALI1_A13007g
YALI0A13013g;YALI1_A13019g
YALI0A13035g;YALI1_A13041g
YALI0A13057g;YALI1_A13046g
YALI0A13079g;YALI1_A13095g
YALI0A13101g;YALI1_A13100g
YALI0A13123r;YALI1_A13128r
;YALI1_A13131g
;YALI1_A13148g
YALI0A13189r;YALI1_A13171r
;YALI1_A13200g
;YALI1_A13224g
;YALI1_A13227g
;YALI1_A13236g
YALI0A13255g;YALI1_A13287g
;YALI1_A13330g
;YALI1_A13334g
;YALI1_A13340g
YALI0A13277g;YALI1_A13349g
YALI0A13299g;YALI1_A13383g
;YALI1_A13392g
;YALI1_A13397g
YALI0A13321g;YALI1_A13412g
YALI0A13343r;YALI1_A13432r
YALI0A13387g;YALI1_A13454g
YALI0A13409r;YALI1_A13490r
YALI0A13431r;YALI1_A13497r
YALI0A13453r;YALI1_A13498r
YALI0A13497g;YALI1_A13508g
YALI0A13519g;YALI1_A13555g
YALI0A13541g;YALI1_A13566g
;YALI1_A13591g
;YALI1_A13593g
YALI0A13563g;YALI1_A13596g
;YALI1_A13637g
YALI0A13585g;YALI1_A13649g
YALI0A13607g;YALI1_A13682g
YALI0A13629r;YALI1_A13688r
;YALI1_A13689r
;YALI1_A13693r
YALI0A13673g;YALI1_A13713g
;YALI1_A13737g
;YALI1_A13749g
;YALI1_A13775g
;YALI1_A13785g
YALI0A13717r;YALI1_A13831r
YALI0A13761r;YALI1_A13837r
YALI0A13805r;YALI1_A13841r
YALI0A13849g;YALI1_A13845g
YALI0A13871r;YALI1_A13862r
YALI0A13915g;YALI1_A13871g
YALI0A13937g;YALI1_A13877g
;YALI1_A13884r
YALI0A13959r;YALI1_A13885r
YALI0A14003r;YALI1_A13888r
;YALI1_A13903g
YALI0A14025r;YALI1_A13923r
YALI0A14069g;YALI1_A13962g
YALI0A14091r;YALI1_A13973r
YALI0A14113r;YALI1_A13982r
YALI0A14157g;YALI1_A13994g
YALI0A14168r;YALI1_A13996r
;YALI1_A14020g
YALI0A14212g;YALI1_A14024g
YALI0A14234g;YALI1_A14079g
YALI0A14256g;YALI1_A14099g
;YALI1_A14109g
YALI0A14278r;YALI1_A14118r
;YALI1_A14127g
;YALI1_A14131g
;YALI1_A14141g
;YALI1_A14150g
YALI0A14322g;YALI1_A14162g
YALI0A14344r;YALI1_A14171r
YALI0A14366g;YALI1_A14189g
YALI0A14388g;YALI1_A14199g
YALI0A14410r;YALI1_A14215r
YALI0A14454g;YALI1_A14228g
;YALI1_A14237g
YALI0A14476g;YALI1_A14259g
;YALI1_A14274g
YALI0A14498g;YALI1_A14287g
;YALI1_A14292g
YALI0A14520g;YALI1_A14305g
YALI0A14542g;YALI1_A14345g
YALI0A14564g;YALI1_A14368g
;YALI1_A14377g
YALI0A14586g;YALI1_A14390g
;YALI1_A14414g
;YALI1_A14430g
;YALI1_A14458g
;YALI1_A14483g
;YALI1_A14510g
YALI0A14608g;YALI1_A14513g
YALI0A14630g;YALI1_A14568g
YALI0A14652r;YALI1_A14586r
YALI0A14674g;YALI1_A14596g
YALI0A14707g;YALI1_A14658g
YALI0A14740g;YALI1_A14670g
;YALI1_A14691g
YALI0A14762g;YALI1_A14703g
YALI0A14784g;YALI1_A14721g
YALI0A14806g;YALI1_A14736g
;YALI1_A14772g
YALI0A14839g;YALI1_A14783g
YALI0A14861g;YALI1_A14826g
YALI0A14883g;YALI1_A14882g
YALI0A14894r;YALI1_A14905r
YALI0A14905g;YALI1_A14922g
YALI0A14927g;YALI1_A14989g
YALI0A14949g;YALI1_A14999g
YALI0A14971g;YALI1_A15017t
YALI0A14971g;YALI1_A15040t
YALI0A15026g;YALI1_A15045g
YALI0A15026g;YALI1_A15053g
YALI0A15059g;YALI1_A15073g
YALI0A15081g;YALI1_A15079g
YALI0A15103g;YALI1_A15105g
YALI0A15125g;YALI1_A15132g
;YALI1_A15172g
;YALI1_A15178g
;YALI1_A15185g
;YALI1_A15192g
YALI0A15147g;YALI1_A15227g
YALI0A15169g;YALI1_A15274g
YALI0A15191r;YALI1_A15297r
;YALI1_A15302r
YALI0A15213r;YALI1_A15303r
;YALI1_A15311g
YALI0A15257g;YALI1_A15349g
;YALI1_A15366g
;YALI1_A15373g
YALI0A15279r;YALI1_A15382r
YALI0A15323r;YALI1_A15391r
YALI0A15334r;YALI1_A15397r
YALI0A15345g;YALI1_A15414g
;YALI1_A15437g
YALI0A15378g;YALI1_A15461g
YALI0A15400g;YALI1_A15482g
YALI0A15422g;YALI1_A15497g
YALI0A15433g;YALI1_A15507g
YALI0A15444g;YALI1_A15515g
;YALI1_A15523g
YALI0A15466g;YALI1_A15528g
YALI0A15488g;YALI1_A15544g
YALI0A15510r;YALI1_A15564r
YALI0A15554g;YALI1_A15584g
YALI0A15576g;YALI1_A15624g
;YALI1_A15633g
YALI0A15598g;YALI1_A15666g
YALI0A15642g;YALI1_A15675g
YALI0A15664r;YALI1_A15682r
YALI0A15686g;YALI1_A15720g
YALI0A15708g;YALI1_A15722g
YALI0A15730r;YALI1_A15740r
YALI0A15752g;YALI1_A15766g
YALI0A15774g;YALI1_A15784g
;YALI1_A15813g
YALI0A15818r;YALI1_A15835r
YALI0A15862r;YALI1_A15843r
YALI0A15884g;YALI1_A15846g
YALI0A15928r;YALI1_A15875r
YALI0A15906g;YALI1_A15863g
YALI0A15950g;YALI1_A15879g
YALI0A15972g;YALI1_A15925g
YALI0A15994r;YALI1_A15953r
YALI0A16016g;YALI1_A15961g
YALI0A16038g;YALI1_A15978g
YALI0A16060g;YALI1_A16004g
;YALI1_A16020g
YALI0A16082g;YALI1_A16028g
;YALI1_A16031g
YALI0A16104r;YALI1_A16050r
YALI0A16126r;YALI1_A16068r
YALI0A16148g;YALI1_A16075g
